Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
2016-04-01,21,0.0,0.0
2016-05-01,21,0.0,0.0
2016-06-01,21,0.0,0.0
2016-07-01,21,0.09,0.38
2016-08-01,21,0.09,3.09
2016-09-01,25,0.09,32.64
2016-10-01,26,0.1,48.57
2016-11-01,30,0.29,100.46
2016-12-01,35,1.99,707.93
2017-01-01,36,4.46,1696.22
2017-02-01,44,4.38,1937.71
2017-03-01,44,6.37,2425.14
2017-04-01,48,7.2,2271.24
2017-05-01,49,9.36,2797.07
2017-06-01,52,10.35,3098.36
2017-07-01,53,11.63,3411.35
2017-08-01,55,16.8,4156.62
2017-09-01,57,30.98,5325.81
2017-10-01,60,76.96,7057.78
2017-11-01,61,105.02,9669.33
2017-12-01,67,145.64,13174.24
2018-01-01,71,151.83,15571.2
2018-02-01,86,171.4,19126.2
2018-03-01,91,178.05,24172.6
2018-04-01,97,190.08,27021.85
2018-05-01,101,189.48,33288.51
2018-06-01,110,246.37,"40,834.03"
2018-07-01,114,273.75,"51,843.14"
2018-08-01,114,312.02,"54,212.26"
2018-09-01,122,405.87,"59,835.36"
2018-10-01,128,482.36,74978.27
2018-11-01,128,524.94,82232.21
2018-12-01,129,620.17,"1,02,594.82"
2019-01-01,134,672.75,"1,09,932.43"
2019-02-01,139,674.19,"1,06,737.12"
2019-03-01,142,799.54,"1,33,460.72"
2019-04-01,144,781.79,"1,42,034.39"
2019-05-01,143,733.54,"1,52,449.29"
2019-06-01,142,754.54,"1,46,566.35"
2019-07-01,143,822.29,"1,46,386.64"
2019-08-01,141,918.35,"1,54,504.89"
2019-09-01,141,955.02,"1,61,456.56"
2019-10-01,141,1148.36,"1,91,359.94"
2019-11-01,143,1218.77,"1,89,229.09"
2019-12-01,143,1308.4,"2,02,520.76"
2020-01-01,144,1305.02,"2,16,242.97"
2020-02-01,146,1325.69,"2,22,516.95"
2020-03-01,148,1246.84,"2,06,462.31"
2020-04-01,153,999.57,"1,51,140.66"
2020-05-01,155,1234.5,"2,18,391.60"
2020-06-01,155,1336.93,"2,61,835.00"
2020-07-01,164,1497.36,"2,90,537.86"
2020-08-01,168,1618.83,"2,98,307.61"
2020-09-01,174,1800.14,"3,29,027.66"
2020-10-01,189,2071.62,"3,86,106.74"
2020-11-01,200,2210.23,"3,90,999.15"
2020-12-01,207,2234.16,"4,16,176.21"
2021-01-01,207,2302.73,"4,31,181.89"
2021-02-01,213,2292.9,"4,25,062.76"
2021-03-01,216,2731.68,"5,04,886.44"
2021-04-01,220,2641.06,"4,93,663.68"
2021-05-01,224,2539.57,"4,90,638.65"
2021-06-01,229,2807.51,"5,47,373.17"
2021-07-01,235,3247.82,"6,06,281.14"
2021-08-01,249,3555.55,"6,39,116.95"
2021-09-01,259,3654.3,"6,54,351.81"
2021-10-01,261,4218.65,"7,71,444.98"
2021-11-01,274,4186.48,"7,68,436.11"
2021-12-01,282,4566.3,"8,26,848.22"
2022-01-01,297,4617.15,"8,31,993.11"
2022-02-01,304,4527.49,"8,26,843.00"
2022-03-01,314,5405.65,"9,60,581.66"
2022-04-01,316,5583.05,"9,83,302.27"
2022-05-01,323,5955.2,"10,41,520.07"
2022-06-01,330,5862.75,"10,14,384.31"
2022-07-01,338,6288.4,"10,62,991.76"
2022-08-01,346,6579.63,"10,72,792.68"
2022-09-01,358,6780.8,"11,16,438.10"
2022-10-01,365,7305.42,"12,11,582.51"
2022-11-01,376,7309.45,"11,90,593.39"
2022-12-01,382,7829.49,"12,82,055.01"
2023-01-01,385,8036.89,"12,98,726.62"
2023-02-01,390,7534.76,"12,35,846.62"
2023-03-01,399,8685.3,"14,10,443.01"
2023-04-01,414,8863.26,"14,15,504.71"
2023-05-01,445,9415.19,"14,89,145.44"
2023-06-01,458,9335.06,"14,75,464.26"
2023-07-01,473,9964.61,"15,33,536.44"
2023-08-01,484,10586.02,"15,76,536.56"
2023-09-01,492,10555.69,"15,79,133.18"
2023-10-01,505,11408.79,"17,15,768.34"
2023-11-01,516,11235.29,"17,39,740.61"
2023-12-01,522,12020.23,"18,22,949.42"
2024-01-01,550,12203.02,"18,41,083.97"
2024-02-01,560,12102.67,"18,27,869.35"
2024-03-01,572,13440.0,"19,78,353.23"
2024-04-01,583,13303.99,"19,64,464.52"
2024-05-01,598,14035.84,"20,44,937.05"
2024-06-01,602,13885.14,"20,07,081.20"
2024-07-01,605,14435.55,"20,64,292.41"
2024-08-01,608,14963.05,"20,60,735.57"
2024-09-01,622,15041.75,"20,63,994.71"
2024-10-01,632,16584.97,"23,49,821.46"
2024-11-01,637,15482.02,"21,55,187.40"
2024-12-01,641,16730.01,"23,24,699.91"
2025-01-01,647,16996,"23,48,037.12"
2025-02-01,653,16106.19,"21,96,481.69"
2025-03-01,661,"18,301.51	","24,77,221.61"
2025-04-01,668,"17,893.42	","23,94,925.87"
2025-05-01,673,"18,677.46	","25,14,297.01"
2025-06-01,675,"18,395.01	","24,03,930.69"
2025-07-01,684,"19,467.95","25,08,498.09"
2025-08-01,688,"20,008.31","24,85,472.91"
2025-09-01,686,"19,633.43","24,89,736.54"
2025-10-01,683,"20,700.92","27,27,790.68"
2025-11-01,684,"20,466.98","26,31,632.63"
2025-12-01,685,"21,634.67","27,96,712.73"
